artist,Biography,Listeners,Playcount,Similar Artists
Reik,"Reik is a Mexican band from Mexicali, Baja California, Mexico. Formed by Jesús Alberto Navarro Rosas (Lead Vocals), Julio Ramírez Eguía (Guitar, Backing Vocals), and Gilberto Marín Espinoza ""Bibi"" (Backing Guitar, Backing Vocals).

In 2003, Jesús Navarro and Julio Ramirez started their then-nascent musical project, tentatively called ""Reik"". It was then they recorded their first demos, which were released through the Mexican underground club scene. <a href=""https://www.last.fm/music/Reik"">Read more on Last.fm</a>",531037,10710045,"['Camila', 'Sin Bandera', 'Río Roma', 'Jesse & Joy', 'Ha*Ash']"
Cosulluela," <a href=""https://www.last.fm/music/+noredirect/Cosulluela"">Read more on Last.fm</a>",1,2,[]
Xavier Rudd,"Xavier Rudd (born 29 May 1978) is a soulful Australian singer-songwriter and multi-instrumentalist whose songs encompass themes such as spirituality, humanity, environmentalism and the rights of Indigenous Australians. He recorded as Xavier Rudd & Izintaba for the 2010 album ""Koonyum Sun"" and as Xavier Rudd & the United Nations for the 2017 album ""Nanna"". 

Growing up in a family of seven children in Torquay, Victoria (Australia), near the famous surfing location Bells Beach, Rudd showed a keen interest in music. <a href=""https://www.last.fm/music/Xavier+Rudd"">Read more on Last.fm</a>",515843,8537832,"['The John Butler Trio', 'The Beautiful Girls', 'Sons of the East', 'Mat McHugh', 'Ziggy Alberts']"
Mike Duran," <a href=""https://www.last.fm/music/Mike+Duran"">Read more on Last.fm</a>",5215,36356,"['Benny Benni', 'Carly', 'EL DIOS DEL TRAP', 'Alexio La Bruja', 'Emanuel 2A']"
Barrington Levy,"Barrington Ainsworth Levy (born 30 April 1964) is a Jamaican reggae and dancehall artist.

Born in Kingston, Jamaica, as a youngster, Barrington Levy formed the Mighty Multitude with his cousin Everton Dacres. They started off playing the sound systems and cut their first single, “My Black Girl,” in 1977. All of 14, Levy broke out his own the next year and recorded his debut solo single, A Long Time Since We Don’t Have No Love.” It didn’t have much of an impact <a href=""https://www.last.fm/music/Barrington+Levy"">Read more on Last.fm</a>",565803,5421445,"['Gregory Isaacs', 'Eek-a-Mouse', 'Ini Kamoze', 'Yellowman', 'Dennis Brown']"
Ñejo y Dálmata," <a href=""https://www.last.fm/music/+noredirect/%C3%91ejo+Y+D%C3%A1lmata"">Read more on Last.fm</a>",421,3684,"['Ryan Castro & Feid', 'Blessd, Justin Quiles & Lenny Tavárez', 'J Álvarez', 'Feid & Sky', 'Daddy Yankee, Wisin & Yandel, Zion, Hector & Tonny Tun Tun']"
Felix Jaehn,"Felix Jaehn (pronounced ""Yeahn"" /jɛːn/, born in Hamburg, Germany on 28 August 1994) is a German music producer and DJ specialising in deep house. He took violin lessons at age of 5 and began his DJ career at 16. Jaehn lived in London for a year, where he attended a music school at the age of 17.

Returning to Hamburg, he came to prominence in 2015 through his remix of Jamaican artist OMI's song ""Cheerleader"". The single was an international hit for him topping the charts in Germany <a href=""https://www.last.fm/music/Felix+Jaehn"">Read more on Last.fm</a>",741778,9564377,"['Robin Schulz', 'Sam Feldt', 'Topic', 'twocolors', 'R3hab']"
Buxxi," <a href=""https://www.last.fm/music/+noredirect/Buxxi"">Read more on Last.fm</a>",16235,88527,[]
Tissilawen," <a href=""https://www.last.fm/music/Tissilawen"">Read more on Last.fm</a>",2685,23701,"['Nabil Baly Othmani', 'Tinariwen', ""Afous d'Afous"", 'Imarhan', 'Bombino']"
Jay Kalyl," <a href=""https://www.last.fm/music/Jay+Kalyl"">Read more on Last.fm</a>",2636,52892,"['Indiomar', 'Musiko', 'Omy Alka', 'MaDiel LaRa', 'Alex Zurdo']"
Tempo,"There are atl least two artists/bands named tempo, a Reggaetón-artist from Puerto Rico, and a German Punk Band from Berlin (1978-1982).

1. David Sánchez Badillo (nacido el 25 de septiembre de 1979 en Ponce, Puerto Rico) mejor conocido como Tempo, es un cantante de rap y reggaeton. Es uno de los artistas más influyentes del genero reggaetón y es considerado para muchos el rey del rap latino.

David Sánchez Badillo es uno de los raperos más activos en producciones musicales dentro del género del “rap”. <a href=""https://www.last.fm/music/Tempo"">Read more on Last.fm</a>",63304,324011,"['Hector El Father', 'Vico C', 'Baby Rasta & Gringo', 'Cosculluela', 'Voltio']"
Dalmata,"Fernando Mangual Vazquez, artistically known as Dálmata, was born on February 29, 1980. The youngest out of three brothers, Dalmata was raised in the place that has become part of his identity and style: Ponce, Puerto Rico. 
Dalmata demonstrated a passion for music at a very young age. He studied music theory and also belonged to the chorus at La Escuela de Ponce. Before being involved in reggaeton, his vision was to have a rock band because it was like the trend at the time. <a href=""https://www.last.fm/music/Dalmata"">Read more on Last.fm</a>",107430,765579,"['Ñejo & Dalmata', 'Luigi 21 Plus', 'J Alvarez', 'Tony Dize', 'Alexis y Fido']"
Vybz Kartel,"Vybz Kartel (born Adidja Palmer, Jan. 7, 1976) is a Jamaican dancehall deejay.

He was born at Kingston's Victoria Jubilee Hospital, and was one of six children.  Originally from Waterhouse, Kingston, he was raised in the Waterford district in the community Portmore, Jamaica.  Adidja attended Calabar High School in Kingston but was expelled as a teenager.  Determined to continue his education, he completed his studies at a tutorial technical school. <a href=""https://www.last.fm/music/Vybz+Kartel"">Read more on Last.fm</a>",323786,5706170,"['Mavado', 'Popcaan', 'Alkaline', 'Aidonia', 'Dexta Daps']"
Becky G,"Rebbeca Marie Gomez, ""Becky G"", (born in Los Angeles, March 2nd 1997) is an American rapper and singer/songwriter. Her musical career began in 2009 when she joined a girl group called ""G.L.A.M."", then later joined another girl group called ""BCG"" however she'd previously made small modeling and acting appearances. Becky's career was kickstarted in 2011 when she posted a remake of Kanye West and Jay-Z's ""Otis"" to YouTube. The video never went viral, however it was discovered by major music producer Dr. <a href=""https://www.last.fm/music/Becky+G"">Read more on Last.fm</a>",1201782,20816016,"['Natti Natasha', 'KAROL G', 'Sofía Reyes', 'Danna Paola', 'Maluma']"
J Alvarez,"Javid David Alvarez Fernandez conocido en el mundo artistico como “J Alvarez”, nacio en Rio Piedras, Puerto Rico un 13 de Diciembre del 1983. Su inspiracion en la musica comenzo en el hip-hop en ingles, en grupos tales como ""A Tribe Called Quest"", “Q-Tip”, ""Busta Rhymes"", entre otros. Todavia no era ni adolecente cuando a los 12 años se atravio a coger un microfono y canto por primera vez en la escuela Luis Muñoz Marin frente a varios estudiantes y profesores. <a href=""https://www.last.fm/music/J+Alvarez"">Read more on Last.fm</a>",184313,2553503,"['Tony Dize', 'Nova y Jory', 'Don Omar', 'Wisin & Yandel', 'Zion']"
BaianaSystem,"BaianaSystem is a musical project aimed at spreading and exploring new possibilities through the sounds of Guitarra Baiana. This singular electric guitar - created in Bahia in the forties - was responsible for the creation of Trio Eletrico (a big moving sound system). It was also responsible for an instrumental language of the electric guitar which you will find in the interpretation of frevos, choros and several other musical styles that got new shape from the richness of the sound of this instrument. <a href=""https://www.last.fm/music/+noredirect/BaianaSystem"">Read more on Last.fm</a>",140560,6081733,[]
Osquel," <a href=""https://www.last.fm/music/Osquel"">Read more on Last.fm</a>",1440,7907,"['Baby Johnny', 'Juliito', 'jEHZA', 'LA X27', 'Hanzel La H']"
Perreke," <a href=""https://www.last.fm/music/Perreke"">Read more on Last.fm</a>",3372,13813,"['Dj Peligro', 'Mackieaveliko', 'John Eric', 'DJ Warner', 'DJ Memo']"
Watussi," <a href=""https://www.last.fm/music/Watussi"">Read more on Last.fm</a>",17452,95531,"['Falo', 'Sammy & Falsetto', 'Gotay ""El Autentiko""', 'Lele El Arma Secreta', 'Los de la Nazza']"
Randy,"There are several artists using this name.

1) Randy, better known as Randy ""Nota Loca"", is a Puerto Rican reggaeton artist and member of the duo Jowell & Randy.  The duo, formed in the early 2000s, became popular for blending reggaeton with other Latin music genres. Randy, along with his partner Jowell, gained fame through collaborations with big artists like Bad Bunny and J Balvin, not including their own hits, contributing significantly to the reggaeton movement. <a href=""https://www.last.fm/music/Randy"">Read more on Last.fm</a>",177961,2168454,"['Heavy Load', 'Enforcer', 'Gotham City', 'Girlschool', 'No Fun at All']"
The Architect,"If it's messing around with cassettes, singing, playing the piano, playing the guitar, hitting the drums, making weird noises or just listening to it, Bas (a.k.a. The Architect) was always busy with music. Happy hardcore (in the 90's) and trance were always his favorite genres. After a time of being a fan of rock and metal he discovered hardstyle. This happened because of the jumpstyle-mediahype in 2006. Since then he started producing and his sound became better and better.
Nowadays he takes it very seriously. 'Nuff said. <a href=""https://www.last.fm/music/The+Architect"">Read more on Last.fm</a>",79858,692475,"['Guts', 'Akshin Alizadeh', 'TM Juke', 'Gramatik', 'Protassov']"
Kenai,"Since forming in 2006, the Southend-On-Sea six piece have built up a strong following and defined a unique and powerful sound. On the back of a series of live shows Kenai were picked up for an album deal by German label Redfield Records (USA’s Jeff Caudill, Canada’s Sights & Sounds) – www.redfield-records.de. The band are set to release their new album in early 2010.

As a warm up to 2010, the band are set to release their cover of the Ne-Yo song “Closer” (the song is available as a download now). <a href=""https://www.last.fm/music/Kenai"">Read more on Last.fm</a>",26852,332132,"['Shadows Chasing Ghosts', 'Fei Comodo', 'All Forgotten', 'ISpyStrangers', 'The Casino Brawl']"
The Reggister's," <a href=""https://www.last.fm/music/The+Reggister%27s"">Read more on Last.fm</a>",15104,104326,"['Sublime Reggae Kings', 'Vintage Reggae Soundsystem', 'Jamaican Reggae Cuts', 'Natty Bong', 'Freedom Dub']"
Benny Benni," <a href=""https://www.last.fm/music/Benny+Benni"">Read more on Last.fm</a>",16934,136564,"['Sou El Flotador', 'RobGz', 'LITO KIRINO', 'Pusho', 'Yampi']"
John Eric,"John Eric Calderón Osorio, mejor conocido en el ambiente artístico y por su fanaticada como “ La Roca” nació el 4 de marzo de 1983 en Rio Piedras, Puerto Rico. Desde que daba sus primeros pasos en la adolescencia, John hizo entrever su gusto por la música y la composición de canciones, comenzando a la edad de 11 años, mismo tiempo en el que desplegaba su talento en fiestas de marquesina, asi como en centros comunales. Debido a su carisma <a href=""https://www.last.fm/music/John+Eric"">Read more on Last.fm</a>",14641,66746,"['Falo', 'Eddie Dee', 'Guanabanas', 'Andy Boy', 'Polaco']"
Protoje,"Oje Ken Ollivierre popularly known as Protoje, is a contemporary reggae singer and songwriter from Saint Elizabeth, Jamaica. His mother is Jamaican singer, Lorna Bennett and his father is a former Calypso king.
In 2010, Protoje began working with his cousin and popular Jamaican producer Don Corleon. After releasing ""Dread"", ""JA"" and ""Roll"" in 2010, Protoje's debut album, entitled The Seven Year Itch, was released in 2011. The first single off the album dubbed ""Arguments"" (2009) was responsible for his early popularity in Jamaica. <a href=""https://www.last.fm/music/Protoje"">Read more on Last.fm</a>",194114,2434483,"['Kabaka Pyramid', 'Jesse Royal', 'Chronixx', 'Stephen Marley', 'Collie Buddz']"
Bryant Myers,"Bryan Robert Rohena Pérez, known professionally as Bryant Myers, is a Puerto Rican Latin trap and reggaeton singer and songwriter. Rohena was born in Loma Alta, Puerto Rico. He began sampling and making his own songs in 2013 and launched them on social media via his SoundCloud, Instagram and YouTube accounts. <a href=""https://www.last.fm/music/Bryant+Myers"">Read more on Last.fm</a>",142669,3762916,"['Anuel AA', 'Dei V', 'Brytiago', 'Pepe Quintana', 'Lary Over']"
Jahneration," <a href=""https://www.last.fm/music/Jahneration"">Read more on Last.fm</a>",13919,175371,"['Skarra Mucci', 'Naâman', 'Dub Incorporation', 'Mellow Mood', 'Yaniss Odua']"
Xriz," <a href=""https://www.last.fm/music/Xriz"">Read more on Last.fm</a>",26723,174175,"['Henry Mendez', 'Dasoul', 'Dr. Bellido', 'Critika & Saik', 'DCS']"
Piso 21,"Juan David Castaño (el llanero), David Escobar (Dim), Juan David Huertas (El profe) y Pablo Mejía (Pablito), son los integrantes del grupo que ahora suena en las emisoras de la ciudad de medellin, Piso 21.

El mayor tiene solo 26 años y el menor 21. Son jóvenes, sí, pero ya son conscientes de su éxito y más que un grupo, ellos se consideran una familia, pues lo más importante, antes de cantar, es la unión y la lealtad a su amistad.

Todo <a href=""https://www.last.fm/music/Piso+21"">Read more on Last.fm</a>",277266,4823630,"['Manuel Turizo', 'Cali & El Dandee', 'Mike Bahía', 'Sebastian Yatra', 'Maluma']"
Lil Geniuz," <a href=""https://www.last.fm/music/Lil+Geniuz"">Read more on Last.fm</a>",1358,7206,"['Rokero', 'Frank Louis', 'Amarion', 'Freestyle Mania', 'Yeruza']"
Prince Royce,"Geoffrey Royce Rojas was born and raised in the Bronx, New York. His parents are both from the land of bachata, The Dominican Republic. His parents got divorced, so it was just him, his mom, and siblings. Geoffrey loved singing, so one day he asked permission to remake the song ""Stand By Me"". After that song the record company signed him, and he makes many songs. His two popular songs are ""Stand By Me"" and ""Corazon Sin Cara"". He has won two Latin Grammy Awards! <a href=""https://www.last.fm/music/Prince+Royce"">Read more on Last.fm</a>",603411,10535445,"['Romeo Santos', 'Aventura', 'Xtreme', 'Monchy & Alexandra', 'Toby Love']"
Omar Acedo," <a href=""https://www.last.fm/music/Omar+Acedo"">Read more on Last.fm</a>",2487,15060,"['Oscarcito', ""Los cadillac's"", 'Kent Y Tony', 'Jesús & Yorky', 'La Melodia Perfecta']"
Brytiago," <a href=""https://www.last.fm/music/Brytiago"">Read more on Last.fm</a>",163995,2513011,"['Bryant Myers', 'Anuel AA', 'TRAP CAPOS', 'Revol', 'Alex Rose']"
Miky Woodz,"Miguel Ángel Rivera Rodríguez, known as Miky Woodz, is a Puerto Rican Latin trap rapper born in Carolina, Puerto Rico. To date, Woodz has released two studio albums, Before Famous in 2017, and El OG in 2018, which were both commercial successes. <a href=""https://www.last.fm/music/Miky+Woodz"">Read more on Last.fm</a>",58401,930279,"['Bryant Myers', 'Luar La L', 'Cosculluela', 'Juhn', 'Myke Towers']"
Sean Paul,"Sean Paul Ryan Francis Henriques (born January 9, 1973 in Kingston, Jamaica) is a Grammy Award winning reggae and dancehall singer and rapper. He released his debut solo album, Stage One, in 2000 and followed this in 2002 with Dutty Rock, which won the 2004 Grammy Award for best reggae album and generated four top twenty Billboard Hot 100 hits, including #1 'Get Busy'. His new cd, Tomahawk Technique, was released in February 2012 and has generated another hit ""She Doesn't Mind"". <a href=""https://www.last.fm/music/Sean+Paul"">Read more on Last.fm</a>",2589389,35930952,"['Beenie Man', 'Kevin Lyttle', 'Shaggy', 'Flo Rida', 'Mr. Vegas']"
Noriel," <a href=""https://www.last.fm/music/Noriel"">Read more on Last.fm</a>",58087,581575,"['Bryant Myers', 'Pepe Quintana', 'Juhn', 'Lary Over', 'Brytiago']"
Kosa,"Raw Black Metal one man band from Ukraine with misanthropic and antichristian ideology. 

Kosa is a not a side project of Lutomysl. According to the label's (Propaganda) statement Kosa member (Vjacheslav Novitskiy) didn't have and doesn't have any other bands or projects.

 <a href=""https://www.last.fm/music/Kosa"">Read more on Last.fm</a>",24466,463314,"['Aleceo', 'U108', 'kośa musica', 'Zuma Dionys', 'Jean Vayat']"
Naâman,"Naâman (born in Dieppe, Normandy on 25 February 1990; died 7 February 2025),was French reggae singer Martin Mussard,  Since 2010 Naâman lit up the French reggae scene with a groovy flow and a clear and invigorating voice.  He strove to revive reggae by borrowing from hip-hop and raggamuffin their incessant rhythms and their committed messages.  

After being elected Revelation of the Year 2013 at the Victoires du Reggae, he returned in 2013 with his first album Deep Rockers, Back A Yard.  <a href=""https://www.last.fm/music/+noredirect/Na%C3%A2man"">Read more on Last.fm</a>",38833,606332,"['Fatbabs', 'Dub Incorporation', 'Yaniss Odua', 'Biga Ranx', 'Danakil']"
Taiwan MC,"Taiwan MC began his career in 2004 on the side of DJ Pitch -In (Dirtyphonics) , skimming the legendary drum & bass dances in the french capital , such as "" I Love Jungle "" or "" Black Label” . After tours that will lead to China , he took part in 2006 in the project ""Liquid Wicked"" with producers Von D and Ben Masala .He also worked in studio and on stage with Tambour Battant or French Fries .
In 2009, he met the label “Chinese Man Records” and <a href=""https://www.last.fm/music/Taiwan+Mc"">Read more on Last.fm</a>",35687,319624,"['Skarra Mucci', ""L'Entourloop"", 'Alborosie', 'Anthony B', 'Soom T']"
Juanka El Problematik," <a href=""https://www.last.fm/music/Juanka+El+Problematik"">Read more on Last.fm</a>",453,3436,"['Los de la Nazza', 'Pacho Y Cirilo', 'Darkiel', 'Benny Benni', 'Young Izak']"
Messiah,"There are several artists named Messiah.
1) Messiah was a rave techno band from the UK known for ""Temple of Dreams"" and ""I Feel Love.""
2) Messiah is a Swiss death/thrash metal band, formed in 1984.
3) Messiah is a Lithuanian hip-hop band. Ream more at MC Messiah.
4) Messiah was a death/thrash metal band from Argentina.
5) Messiah was a rapper from the 1990s.
6) Messiah was an American power/epic heavy metal band during the 80's.
7) Messiah was a punk band from New Delhi, India. Formed in late 90s, they released an album called ""The Antidote"" . <a href=""https://www.last.fm/music/Messiah"">Read more on Last.fm</a>",56317,670333,"['Protector', 'Morbid Saint', 'Bulldozer', 'Morta Skuld', 'Pestilence']"
Musicologo," <a href=""https://www.last.fm/music/Musicologo"">Read more on Last.fm</a>",189,979,"['El Mayor Clasico', 'El Nene La amenaza', 'Musicologo The Libro', 'Lapiz Conciente', 'Sensato']"
Jah Cure,"Jah Cure (real name Siccature Alcock) is a Jamaican reggae musician. He was born on October 11th, 1978 in Hanover, Jamaica and raised in Kingston. He was given the name Jah Cure by Capleton whom he met while growing up in Kingston. His first big break came in 1997 when he released the single ""King of the Jungle"" which was a duet with Sizzla. The single was produced by Beres Hammond who went on to become his mentor. He then released a steady stream of singles that won him critical and popular acclaim. <a href=""https://www.last.fm/music/Jah+Cure"">Read more on Last.fm</a>",228474,1924721,"['Richie Spice', 'Tarrus Riley', 'Morgan Heritage', 'Fantan Mojah', 'Busy Signal']"
Babe Rainbow,"North Coast cosmic conduits Babe Rainbow are at their laconic, luminous peak, curiously exploring their place in sonic space while permaculturally rooted here on Planet Earth, to drifting, dazzling effect.

Sprouting from the high vibrational vortex that is Australia's Eastern-most tip - Byron Bay - the music of Babe Rainbow acts as an extension of the consciously living community that has made the area so magnetic for decades.

Gently psychedelic and lightly jammy <a href=""https://www.last.fm/music/Babe+Rainbow"">Read more on Last.fm</a>",334989,4927989,"['Levitation Room', 'Sugar Candy Mountain', 'Pipe-Eye', 'King Gizzard & The Lizard Wizard', 'Pond']"
Movimiento Original," <a href=""https://www.last.fm/music/Movimiento+Original"">Read more on Last.fm</a>",42483,995441,"['ChysteMc', 'Portavoz', 'Gondwana', 'Tiro De Gracia', 'Glup!']"
Franco De Vita,"Franco De Vita (born January 23, 1954 in Caracas, Venezuela) is a singer-songwriter popular in Latin music.

One of three children born in Latin America to Italian immigrants, De Vita’s family returned to Italy when he was 3. The family moved back to Venezuela when De Vita was 13, and he later studied piano at the university level.

In 1982, De Vita formed the group Icaro, which released one self-titled album in his homeland. Two years later, he released his first disc as a solo artist, simply titled Franco De Vita. <a href=""https://www.last.fm/music/Franco+De+Vita"">Read more on Last.fm</a>",263760,2816994,"['Ricardo Montaner', 'Sin Bandera', 'Ricardo Arjona', 'Chayanne', 'Alejandro Sanz']"
"Gotay ""El Autentiko"""," <a href=""https://www.last.fm/music/Gotay+%22El+Autentiko%22"">Read more on Last.fm</a>",27518,370732,"['Sammy & Falsetto', 'Musicologo y Menes', 'Opi The Hit Machine', 'Yampi', 'Lele El Arma Secreta']"
A7JK," <a href=""https://www.last.fm/music/A7JK"">Read more on Last.fm</a>",79,372,"['Hyarison', 'Tim  We Ce Ca', 'RuskieBanana', 'POKESSI', 'Vilone']"
DrefQuila,"Chilean rapper that with the use of Autotune and synthesisers blend their voice, using pre recorded reggaeton tracks, in what it's known as ""Latin Trap"". <a href=""https://www.last.fm/music/DrefQuila"">Read more on Last.fm</a>",65686,3134901,"['Young Cister', 'Easykid', 'Kidd Voodoo', 'Gianluca', 'Polimá Westcoast']"
MAGIC!,"MAGIC! is a Canadian reggae fusion band, now based in California. It is composed of well-known songwriter and record producer Nasri Atweh on lead vocals and Mark Pellizzer, Alex Tanas and Ben Spivak. In 2013, they released their debut single, ""Rude"" that reached number one in the United States, number two in Australia and New Zealand and number six in Canada. MAGIC! is featured on Shakira's self-titled album on the track entitled ""Cut Me Deep"", released in March 2014. <a href=""https://www.last.fm/music/Magic%21"">Read more on Last.fm</a>",1250711,10974736,[]
Cultura Profética,"Cultura Profética is a Puerto Rican reggae roots band. Formed in 1996, they stand out as one of the most influential bands in Latin America, touring extensively throughout the biggest venues on the continent. With nine, independently released albums, the band is composed of 12 musicians that achieve a musical fusion of traditional roots reggae mixed with harmonies of salsa, jazz, electronica, trip hop, ska, and afro-caribbean rhythms, among others. <a href=""https://www.last.fm/music/+noredirect/Cultura+Prof%C3%A9tica"">Read more on Last.fm</a>",157341,3877997,"['Los Cafres', 'Gondwana', 'Rawayana', 'Nonpalidece', 'Los Pericos']"
Biga*Ranx," <a href=""https://www.last.fm/music/+noredirect/Biga%2ARanx"">Read more on Last.fm</a>",36457,722391,[]
Yohan Marley," <a href=""https://www.last.fm/music/Yohan+Marley"">Read more on Last.fm</a>",974,4025,"['Keznamdi', 'Green Lion Crew', 'iotosh', 'Yaadcore', 'yaksta']"
Manuel Turizo,"Manuel Turizo Zapata (born April 12, 2000), better known as Manuel Turizo, is a Colombian reggaeton singer and songwriter. Born and raised in Montería, Córdoba, he began making music at the age of thirteen with the influence of his older brother, Julián Turizo. When he was sixteen he independently recorded and  three singles: ""Baila Conmigo"", ""Vámonos"" and ""Una Lady Como Tú"", the latter gained wide popularity in 2017, and shortly after he signed under the label La Industria Inc. <a href=""https://www.last.fm/music/Manuel+Turizo"">Read more on Last.fm</a>",433559,7859623,"['Piso 21', 'Maluma', 'Sebastian Yatra', 'Nicky Jam', 'Wisin']"
Pusho," <a href=""https://www.last.fm/music/Pusho"">Read more on Last.fm</a>",17603,113749,"['Benny Benni', 'Omy de Oro', 'oken', 'Cauty', 'Juliito']"
Carla Morrison,"Carla Patricia Morrison Flores  (Tecate, Baja California, July 19, 1986), better known as Carla Morrison, is an independent Mexican alternative pop singer-songwriter, winner of three Latin Grammy Awards: two for her album ""Déjenme llorar"", which has been certified Platinum, and one for her song “Vez primera”, from the album ""Amor supremo"" in 2012.

Carla Morrison has three studio albums: ""Dejenme Llorar"" (2012), ""Amor supremo"" (2015) and ""El renacimiento"" (2022). <a href=""https://www.last.fm/music/Carla+Morrison"">Read more on Last.fm</a>",307020,6612435,"['Kevin Kaarl', 'Jósean Log', 'León Larregui', 'Natalia Lafourcade', 'Jesse & Joy']"
